id HYSS litter adj_age adj_bf
YYCFJYA14083305 11201511 11140833 165.282389162562 8.87589288176729
YYCFJYB20170407 12202031 12201704 139.606692032229 14.6970851509115
YYCFJYA14015001 11201421 11140150 133.873290598291 12.9481319954618
YYCFJYA15168002 11201521 11151680 138.537697022767 16.7790034327486
YYCFJYA17057011 11201842 11170570 192.919010695187 10.3931623931624
YYCFJYA14067501 11201511 11140675 159.683045977011 13.9595424220943
YYCFJYA16553801 11201621 11165538 135.429062751408 12.3928224537723
YYCFJYB20104702 12202022 12201047 151.793630705394 16.5442176870748
YYCFJYB19307114 12202012 12193071 161.581503428012 13.9326519634212
YYCFJYA15121301 11201521 11151213 160.682709011944 11.0108516055023
YYCFJYB19210511 12201942 12192105 150.345762489045 14.1738708110733
YYCFJYA17165212 11201812 11171652 140.237773972603 13.0038022813688
YYCFJYA20375005 11202111 11203750 141.588324852918 9.91685593392306
YYCFJYB19374401 12202011 12193744 161.665342052314 13.6764925897804
YYCFJYA18782813 11201912 11187828 151.457844901457 14.7493261455526
YYCFJYA20865403 11202021 11208654 151.606087151842 14.1133710584683
YYCFJYB20012903 12202021 12200129 153.455265654649 11.7105274368327
YYCFJYB20024407 12202021 12200244 154.065816326531 12.2279700219421
YYCFJYB19354803 12202011 12193548 161.14377394636 13.8326495160149
YYCFJYA19228404 11201921 11192284 191.908162612036 17.591131100882
YYCFJYA19635705 11202011 11196357 144.503146853147 15.2526122438916
YYCFJYB20337811 12202141 12203378 153.671466721446 14.9715530676012
YYCFJYA19186408 11201922 11191864 163.211349663785 22.1694556984323
YYCFJYA18496911 11201832 11184969 163.273913250715 14.3571803393388
YYCFJYA18843509 11201912 11188435 167.285253164557 15.7482732156562
YYCFJYA19572611 11202042 11195726 163.238255813953 11.9790661877886
YYCFJYB20040006 12202022 12200400 167.327037037037 12.5803814713896
YYCFJYA16165911 11201742 11161659 156.399375 9.34142640364188
YYCFJYB19198308 12201942 12191983 161.972958477509 14.8790786948177
YYCFJYA20399307 11202111 11203993 149.7650326365 14.760401833448
YYCFJYB20218609 12202031 12202186 136.373626104024 13.8546186467846
YYCFJYB20207803 12202031 12202078 148.971986006459 14.4568064525789
YYCFJYA20901403 11202021 11209014 171.276988071571 9.24827442364916
YYCFJYA20309208 11202112 11203092 169.071956757735 10.4897482913819
YYCFJYA15115602 11201521 11151156 166.614694656489 16.2578679895329
YYCFJYA20837904 11202022 11208379 161.443382213813 14.4475247524752
YYCFJYA20187708 11202142 11201877 179.41093495935 14.3782543038357
YYCFJYA20312312 11202112 11203123 187.01598936954 14.6688367640019
YYCFJYA15497106 11201611 11154971 154.387869198312 15.9743174270404
YYCFJYA14063701 11201511 11140637 140.353111946533 13.7711168164313
YYCFJYA20280604 11202112 11202806 198.656935483871 12.3926591175322
YYCFJYA15265301 11201541 11152653 175.449170616114 13.8079191073006
YYCFJYA14109603 11201521 11141096 146.125346020761 17.8973973973974
YYCFJYB19365509 12202012 12193655 166.01307073955 14.6999416001557
YYCFJYA19400707 11201932 11194007 161.179279238441 14.6236846500752
YYCFJYA20339010 11202112 11203390 194.311800169527 10.3304950876517
YYCFJYA15154702 11201521 11151547 149.200692695214 12.3934276015414
YYCFJYA15116903 11201511 11151169 160.98912037037 13.5131206165868
YYCFJYA18904213 11201912 11189042 163.1972265625 13.6995708154506
YYCFJYA15140204 11201521 11151402 178.749890829694 11.1750265481356
YYCFJYA16606810 11201621 11166068 181.814850560398 20.946557886203
YYCFJYA20267706 11202142 11202677 172.195373831776 12.3124699416008
YYCFJYA18951414 11201912 11189514 164.059003777148 17.0792439743367
YYCFJYA14108602 11201521 11141086 162.436735700197 9.0814836625965
YYCFJYA14031401 11201431 11140314 137.355 14.1925467012406
YYCFJYB20425704 12202112 12204257 154.37889588581 13.7928115761631
YYCFJYA18947003 11201912 11189470 177.441289180991 9.09137899206203
YYCFJYA16394601 11201721 11163946 146.798255813953 14.9544943673384
YYCFJYA16261815 11201711 11162618 161.398620309051 9.86435015376442
YYCFJYA19402217 11201932 11194022 171.375513326752 9.88260791042081
YYCFJYA14025701 11201421 11140257 137.415334572491 14.941476535773
YYCFJYA15160701 11201521 11151607 170.492920353982 20.8673792192635
