id HYSS litter adj_age adj_bf
DDCFJYA19169901 11201921 11191699 160.083559099437 10.3566111308047
DDCFJYA20023101 11202031 11200231 164.751398373984 10.7620795107034
DDCFJYB19401601 12202011 12194016 156.87618487395 9.74006309148265
DDCFJYA19685005 11202011 11196850 150.112681936041 15.9438412333935
DDCFJYA20826109 11202021 11208261 147.961211350294 13.030173367761
DDCFJYA20799505 11202011 11207995 174.204549597855 9.72508659079664
DDCFJYA20829001 11202021 11208290 132.759639032815 10.1852507374631
DDCFJYB20286201 12202041 12202862 155.388462365591 13.3431093007468
DDCFJYA19431903 11202041 11194319 179.559550678372 11.3072829557549
DDCFJYA18654403 11201841 11186544 145.273126984127 16.0279498173734
DDCFJYA20378001 11202111 11203780 150.933886618267 11.5429250488074
DDCFJYA16335302 11201711 11163353 134.350206896552 11.2984293193717
DDCFJYA15297301 11201641 11152973 135.961330097087 11.9462723351818
DDCFJYA19614102 11202011 11196141 145.098561752988 10.2417488993472
DDCFJYB20223208 12202032 12202232 135.11625210084 11.9489511541818
DDCFJYA18644007 11201841 11186440 147.278574979952 21.0954635711013
DDCFJYA17422702 11201721 11174227 136.527817891374 12.9324406573341
DDCFJYA17000301 11201841 11170003 161.804533980583 9.72537532039546
DDCFJYA16087001 11201641 11160870 146.103323607427 13.3534439416792
DDCFJYA16212703 11201741 11162127 136.737490230906 12.51565129586
DDCFJYA19422308 11201932 11194223 152.12663876652 12.3980471431841
DDCFJYA20822110 11202022 11208221 163.539534571723 14.2219725589608
DDCFJYB20227308 12202032 12202273 170.884506988564 13.5655353987088
DDCFJYA18968510 11201922 11189685 155.563932098765 11.6885688501727
DDCFJYA20378608 11202112 11203786 183.227392377653 12.5151495750767
DDCFJYA18609105 11201832 11186091 161.394190578158 11.741716982867
DDCFJYA17014404 11201841 11170144 165.098090909091 11.1045229950589
DDCFJYA17632111 11201732 11176321 148.391884808013 11.7695705699182
DDCFJYA18396401 11201821 11183964 147.060253286591 11.4768156888815
DDCFJYA18372105 11201821 11183721 161.237958333333 9.35211267605634
DDCFJYA17680303 11201731 11176803 159.953356435644 14.8601268183514
DDCFJYA17535204 11201721 11175352 169.418411764706 9.58652496490876
